,0,1,sum_variance_01
RDKit,0.2825751635836786,0.12649693859662242,0.40907210218030104
RDKit + MACCS,0.28022632789822927,0.12336524702189716,0.40359157492012643
FCFP + RDKit,0.26511084106288924,0.12378664512404218,0.38889748618693143
RDKit + Topological Torsion,0.2641608013825311,0.12098696701966222,0.38514776840219334
FCFP + RDKit + MACCS,0.2638555330819082,0.12103124097892393,0.3848867740608321
RDKit + Topological Torsion + MACCS,0.262918704474523,0.11839433928302465,0.3813130437575476
FCFP + RDKit + Topological Torsion,0.2504334341424464,0.11954278685477508,0.3699762209972215
FCFP + RDKit + Topological Torsion + MACCS,0.24990666673855635,0.11721671284232259,0.36712337958087893
Morgan (ECFP) + RDKit,0.24981815011214165,0.11651743904464432,0.366335589156786
Morgan (ECFP) + RDKit + MACCS,0.24928285178265955,0.1142846030897471,0.36356745487240666
MACCS,0.2548858166503917,0.1015123083946851,0.35639812504507684
Morgan (ECFP) + FCFP + RDKit,0.23808530355850274,0.11542851343022846,0.3535138169887312
Morgan (ECFP) + FCFP + RDKit + MACCS,0.23808958840460576,0.11339987866078934,0.3514894670653951
Morgan (ECFP) + RDKit + Topological Torsion,0.23784850447458766,0.11333661595282724,0.3511851204274149
Morgan (ECFP) + RDKit + Topological Torsion + MACCS,0.2378136091315681,0.11140855441337393,0.349222163544942
RDKit + Atom Pair,0.2357218905584993,0.11202396590606159,0.3477458564645609
RDKit + Atom Pair + MACCS,0.23582754871504427,0.11031272392520876,0.34614027264025304
Morgan (ECFP) + FCFP + RDKit + Topological Torsion,0.22822779296787415,0.11291112591439902,0.34113891888227316
Morgan (ECFP) + FCFP + RDKit + Topological Torsion + MACCS,0.2285654180311741,0.1111407987451197,0.3397062167762938
FCFP + RDKit + Atom Pair,0.22656923681180668,0.11112991581914314,0.33769915263094985
FCFP + RDKit + Atom Pair + MACCS,0.22700799315597878,0.10954655084653843,0.3365545440025172
RDKit + Atom Pair + Topological Torsion,0.22659014039997533,0.10946656676499127,0.3360567071649666
RDKit + Atom Pair + Topological Torsion + MACCS,0.22698110458475748,0.10794543264496301,0.3349265372297205
FCFP + RDKit + Atom Pair + Topological Torsion,0.2188744814160326,0.10906954642429154,0.32794402784032417
FCFP + RDKit + Atom Pair + Topological Torsion + MACCS,0.21950441875391524,0.10765151960182286,0.3271559383557381
Morgan (ECFP) + RDKit + Atom Pair,0.2175052011704841,0.10672710529907116,0.32423230646955525
Morgan (ECFP) + RDKit + Atom Pair + MACCS,0.21818810405807343,0.10536847229329734,0.32355657635137075
Morgan (ECFP) + FCFP + RDKit + Atom Pair,0.21071545383599857,0.1064630991904925,0.31717855302649106
