drug,5HT1A,5HT1B,5HT1D,5HT1E,5HT1F,5HT2A,5HT2B,5HT2C,5HT5A,5HT6,5HT7,Alpha1A,Alpha1B,Alpha1D,Alpha2A,Alpha2B,Alpha2C,Beta1AR,Beta2AR,Beta3AR,DRD1,DRD2,DRD3,DRD4,DRD5
25C-NBOMe,13.04760077,0.0,61.56,0.0,0.0,126.52,67.19,98.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6,0.0,0.0,0.0
25I-NBMD,27.2,84.23929676,91.94,105.26,102.09923,102.02,45.49,79.79,0.0,46.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25I-NBOMe,45.37,0.0,53.65,33.92,64.59677996,108.36,72.04,104.43,27.97,66.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2,0.0,0.0
25T7-NBOMe,31.99131497,0.0,31.81,0.0,69.11681734,99.15,53.73,94.85,36.81,48.25,0.0,17.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.82,0.0,71.61
4-AcO-MALT,50.677696,126.1706182,101.04,115.53,102.5527163,102.61,68.11,110.35,43.88,98.86,0.0,52.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.99,85.6,0.0,0.0
5-HT,100.0928689,103.121191,100.18,100.0,100.4926694,100.03,100.0,101.54,101.23,100.06,99.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.81,100.11,0.0,0.0
5-MAPDB,18.35,78.96900671,50.89,66.82,69.06488368,81.48,82.91,39.36,33.71,0.0,0.0,0.0,0.0,0.0,0.0,44.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-MeO-DALT,96.61,120.4128512,102.32,101.26,85.52938398,94.33,100.75,124.44,0.0,102.98,93.91,54.17,55.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.37,77.33,96.92,20.34
5-MeO-DMT,99.97564404,133.3936865,111.07,105.54,97.49958229,101.18,78.36,122.64,99.67,101.14,92.07,96.97,40.53,63.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.32,98.14,82.27,0.0
5-MeO-DiPT,89.27768843,134.3823383,103.66,85.92,83.15903107,113.29,109.66,74.91,79.08,86.59,0.0,30.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.29,0.0
5-MeO-EiPT,90.14405963,125.6606349,107.96,101.0,102.3799977,99.04,119.89,105.62,82.08,100.75,62.15,62.2,108.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.54,75.4,0.0,0.0
5-OH-DMT,120.83,123.8216829,101.95,121.19,109.3594643,106.23,78.27,105.98,128.11,110.99,100.1,93.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.27,93.51,0.0,0.0
AL-LAD,92.86846603,112.4510997,98.49,115.52,107.7476852,124.1,104.37,123.6,89.94,98.27,63.58,92.15,45.93,72.54,0.0,77.2,0.0,0.0,0.0,67.8,82.94988157,89.81,90.76,89.78,68.11
Aleph-1,0.0,95.85658278,76.1,101.21,104.827742,107.94,120.35,108.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.67,121.86,98.06,0.0
Allylescaline,36.6949838,112.4807603,108.42,110.58,90.01643875,113.21,101.05,105.35,42.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.35,104.76,75.91,0.0
BL-3912A,37.19323007,114.8247931,107.83,107.16,88.87367616,106.24,98.49,111.72,69.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.59,117.74,57.17,0.0
BU-LAD,68.86637331,118.4007022,75.88,107.46,93.60556472,96.82,55.23,100.69,47.3,35.25,0.0,65.76,0.0,34.18,34.99,75.81,0.0,0.0,0.0,77.11,0.0,56.09,70.08,34.26,0.0
Bromo-DragonFLY,63.8138528,105.8236719,122.93,118.31,104.275611,104.35,84.17,95.99,43.54,0.0,0.0,69.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.42,0.0,0.0,17.46
CPM,25.41160005,120.0727517,113.81,99.29,75.22495918,116.0,94.55,137.09,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.22,97.92,90.56,0.0
DAM-57,102.2399926,132.0885746,102.46,123.1,108.5752812,99.15,55.35,98.21,52.61,92.8,34.19,87.46,55.28,70.67,83.94,77.52,88.15,0.0,0.0,71.57,62.6745876,95.99,85.79,109.7,78.3
DIPLA,97.02049073,119.625294,97.85,108.42,118.374031,84.59,69.46,126.87,46.99,92.43,0.0,87.83,0.0,46.55,61.69,0.0,68.82,0.0,0.0,0.0,49.24313104,95.17,80.53,79.81,81.11
DMCPA,24.49063132,121.0809278,97.78,111.22,102.7943479,111.22,91.84,106.08,70.89,0.0,0.0,24.66,0.0,0.0,25.76,0.0,0.0,0.0,0.0,0.0,0.0,58.71,39.97,51.58,0.0
DOI,0.0,117.9258704,101.6,124.53,94.85950733,100.67,101.05,90.77,35.38,0.0,0.0,62.27,0.0,0.0,29.0,0.0,23.93,0.0,0.0,0.0,0.0,67.82,33.91,0.0,0.0
DOM,52.65122068,103.3900116,114.17,114.04,85.06551289,114.16,103.67,105.86,29.86,0.0,0.0,58.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.06,84.1,0.0
Dopamine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.54605613,0.0,0.0,100.19,99.06
