Molecule ChEMBL ID,Smiles,pChEMBL Value,Comment
CHEMBL1643678,Fc1ccc(OC2CN(c3c4c(nc5ccnn35)CCNCC4)C2)cc1,8.52,
CHEMBL1643853,COc1cccc(OC2CN(c3c4c(nc5ccnn35)CCNCC4)C2)c1,7.4,
CHEMBL1643672,c1cc2nc3c(c(N4CCCCC4)n2n1)CCNCC3,6.23,
CHEMBL2022190,Cl.NC[C@H]1C[C@@H]1c1ccccc1OCC1CCC1,,Not Active
CHEMBL2022193,Cl.NC[C@@H]1C[C@H]1c1ccccc1OCC1CC1,,Not Active
CHEMBL2022189,Cl.NC[C@H]1C[C@@H]1c1ccccc1OCC1CC1,,Not Active
CHEMBL478,Clc1cccc(N2CCNCC2)c1,6.54,
CHEMBL220157,COc1cc(Cl)c2c(c1)[C@@H]1CNCCN1C2=O,,
CHEMBL223440,CCc1cc(Cl)c2c(c1)[C@@H]1CNCCN1C2=O,,
CHEMBL407909,CCc1cc2c(ccc3cnn(C[C@H](C)N)c32)o1,7.03,
CHEMBL5186895,[2H]C([2H])([2H])N1CCC[C@@H]1Cc1c[nH]c2cccc(O)c12,,
CHEMBL5204826,CN1CCC[C@@H]1Cc1c[nH]c2cccc(O)c12,,
CHEMBL5201470,Cl.Oc1ccc(O)c(C2NCCc3c2[nH]c2ccc(F)cc32)c1,7.14,
CHEMBL4802359,Clc1ccc2[nH]c3c(c2c1)CCNC3c1ccccc1,6.61,
CHEMBL4742882,Cl.Oc1ccc(C2NCCc3c2[nH]c2ccc(Cl)cc32)cc1,7.03,
CHEMBL5176057,Cl.Fc1ccc2[nH]c3c(c2c1)CCNC3c1ccccc1F,6.52,
CHEMBL4752798,Cl.Oc1ccccc1C1NCCc2c1[nH]c1ccc(Cl)cc21,7.29,
CHEMBL5188678,Cc1noc(C)c1C1NCCc2c1[nH]c1ccc(F)cc21.Cl,6.62,
CHEMBL5199780,Cc1cc(C2NCCc3c2[nH]c2ccc(Cl)cc32)sc1Br.Cl,6.11,
CHEMBL360492,CC1CNCCc2cc(F)c(Cl)cc21,7.14,
CHEMBL5080051,Oc1cccc2[nH]cc(CCN3CCC3)c12,7.93,
CHEMBL178313,CC1CNCCc2cc(O)c(Br)cc21,7.2,
CHEMBL362073,CC1CNCCc2c(Cl)cccc21,,
CHEMBL595194,Clc1ccccc1O[C@H]1CCCc2ccc(N3CCNCC3)nc21,7.16,
CHEMBL203013,C[C@@H]1CNC[C@H]2Cc3ccc(COCC4CC4)nc3N21,,Not Active
CHEMBL178124,CC1CNCCc2ccc(C(F)(F)F)cc21,7,
CHEMBL181172,CC1CNCCc2ccc(Cl)cc21,6.7,
CHEMBL362073,CC1CNCCc2c(Cl)cccc21,,
CHEMBL253806,COc1cc2c(cc1Cl)[C@@H](C)CNCC2,6.7,
CHEMBL2023357,NC[C@H]1C[C@@H]1c1cc(F)ccc1OCC1CC1,6.05,
CHEMBL2397914,O=C1c2ccc3c(c2C[C@@H]2CNCCN12)OCCC3,5.86,
CHEMBL2397912,COc1ccc(C)c2c1C[C@@H]1CNCCN1C2=O,6.83,
CHEMBL2397904,Cc1cccc2c1C[C@@H]1CNCCN1C2=O,6.69,
CHEMBL2397897,CCc1ccc2c(c1)C(=O)N1CCNC[C@H]1C2,7.43,
CHEMBL2397896,Cc1ccc2c(c1)C(=O)N1CCNC[C@H]1C2,7.28,
CHEMBL2397883,C[C@@]12CNCCN1C(=O)c1ccccc1C2,,Not Determined
CHEMBL2023355,COc1ccc(-c2ccccc2)cc1[C@H]1C[C@@H]1CN.Cl,,Not Active
CHEMBL2023356,COc1ccc(-c2ccccc2C)cc1[C@H]1C[C@@H]1CN.Cl,,Not Active
CHEMBL2022185,CCOc1ccccc1[C@H]1C[C@@H]1CN.Cl,5.52,
CHEMBL2022187,CC(C)COc1ccccc1[C@H]1C[C@@H]1CN.Cl,,Not Active
CHEMBL501854,Cl.NC[C@H]1C[C@@H]1c1ccc(Br)cc1,,
CHEMBL471802,Cl.NC[C@H]1C[C@@H]1c1ccc(F)cc1F,6.26,
CHEMBL65547,CN(C)CCc1c[nH]c2cccc(O)c12,7.12,
CHEMBL76301,C[C@H](N)CN1CCc2cc(F)c(I)cc21,6.37,
CHEMBL4097390,O=C(c1csc(-c2cccnc2)n1)N1CCOCC1,,
CHEMBL4078330,O=C(c1nc(-c2cccc3ccccc23)cs1)N1CCOCC1,,
CHEMBL4090637,Cc1nc(-c2cccc3ccccc23)sc1C(=O)N(C)Cc1cccnc1,,
CHEMBL367796,CC1CNCCc2ccccc21,5.8,
CHEMBL179244,CC1CNCCc2cc(OCc3ccccc3)c(Br)cc21,7.66,
CHEMBL39,NCCc1c[nH]c2ccc(O)cc12,6.52,
CHEMBL440752,CC1CNCCc2ccc(Br)cc21,6.29,
CHEMBL3769454,COc1ccc(Cl)c(Cl)c1C1CC1CN.Cl,7.42,
CHEMBL331241,Cc1ccc2[nH]cc(CCN)c2c1,8.22,
CHEMBL4877402,CCCN(CC)CCc1c[nH]c2ccc(F)cc12.Cl,8.26,
CHEMBL80246,C[C@H](N)CN1CCc2cc(F)c(C(F)(F)F)cc21,5.97,
CHEMBL39,NCCc1c[nH]c2ccc(O)cc12,8.63,
CHEMBL178252,CC1CNCCc2ccc(F)cc21,5.8,
CHEMBL254009,C[C@H]1CNCCc2ccc(C(F)(F)F)cc21,6.9,
CHEMBL360479,CC1CNCCc2cccc(Cl)c21,,
CHEMBL253807,C[C@@H]1CNCCc2ccc(Cl)c(F)c21,6,
CHEMBL253155,c1ccc2c(c1)CCNCC2,,
CHEMBL493128,Cl.NC[C@H]1C[C@@H]1c1cccc(Cl)c1,5.72,
CHEMBL467736,Cl.NC[C@H]1C[C@@H]1c1ccccc1Br,7.17,
CHEMBL471202,Cc1ccc([C@H]2C[C@@H]2CN)cc1.Cl,5.71,
CHEMBL474634,Cc1cccc(Cl)c1[C@H]1C[C@@H]1CN.Cl,6.14,
CHEMBL475643,Cc1ccc([C@H]2C[C@@H]2CN)cc1C.Cl,5.62,
CHEMBL492306,Cl.NC[C@H]1C[C@@H]1c1ccc(F)c(F)c1,6.24,
CHEMBL2022184,CCCCOc1ccc(C)cc1[C@H]1C[C@@H]1CN.Cl,,Not Active
CHEMBL2022192,Cl.NC[C@H]1C[C@@H]1c1ccccc1OCc1ccccc1,,Not Active
